Carbon_Source,GPT4o_Reasoning,GPT5_Recommendation,GPT5_Confidence,GPT5_Reasoning,Suggested_Compound,Database_IDs,Metabolic_Pathway
2-Deoxy-D-ribonic acid lithium salt,2-Deoxy-D-ribonic acid is a defined compound but not a typical carbon source for bacteria.,use_alternative,medium,"2‑Deoxy‑D‑ribonic acid (2‑deoxyribonate) is not represented as an exchangeable metabolite in BiGG or ModelSEED, and KEGG coverage is sparse; only niche annotations exist in MetaCyc for deoxyribonate catabolism in select bacteria, so most GSMs will lack transport/catabolic reactions and the exchange will be a dead end. As a practical proxy, 2‑deoxy‑D‑ribose is widely annotated and metabolized via the DeoK/DeoC pathway (deoxyribokinase and 2‑deoxyribose‑5‑phosphate aldolase) in organisms like E. coli, and is present in KEGG/BiGG/ModelSEED. The lithium salt designation is irrelevant for modeling; you would represent the neutral acid/anion form.",2-Deoxy-D-ribose,,Deoxyribose catabolism via deoxyribokinase (EC 2.7.1.118) and 2-deoxyribose-5-phosphate aldolase (DeoC) to glyceraldehyde-3-phosphate and acetaldehyde
Actilight,"Actilight is a commercial product and likely a proprietary blend, not a single defined compound.",use_alternative,medium,"Actilight is a branded short-chain fructooligosaccharide (scFOS) mixture (DP3–DP5; primarily 1-kestose, nystose, and 1F-fructofuranosylnystose) rather than a single defined compound, and it does not appear in KEGG, ModelSEED, BiGG, or MetaCyc under that name. Bacterial metabolism of scFOS is well documented: GH32 fructofuranosidases (exo-/endo-inulinase, sucrose/invertase) hydrolyze scFOS to sucrose and fructose, which then enter standard sucrose/fructose utilization pathways (e.g., invertase/sucrose phosphorylase, fructokinase, glycolysis or bifid shunt in bifidobacteria). For GEMs, model Actilight via defined components—using 1-kestose (GF2) as a proxy is a practical single-compound choice.",1-kestose (GF2),,Fructan/FOS degradation via GH32 fructofuranosidase → sucrose + fructose; sucrose catabolism (invertase or sucrose phosphorylase) → glucose + fructose; fructose entry via fructokinase/PTS to glycolysis or bifid shunt (fructose-6-phosphate phosphoketolase pathway).
Avantafiber,"Avantafiber appears to be a proprietary name, not a defined chemical compound.",use_alternative,low,"Avantafiber appears to be a branded ingredient rather than a defined metabolite and is not found in KEGG, MetaCyc, BiGG, or ModelSEED, so it cannot be represented as a single exchange metabolite. Commercial products with similar naming are typically soluble prebiotic fibers (often resistant dextrin/soluble corn fiber or inulin/FOS); for GEMs, a well-defined proxy is dextrin/maltodextrin, which maps to established maltodextrin transport and catabolism reactions. This allows uptake and conversion to glucose units via maltodextrin phosphorylase and glycolysis, capturing general fermentable-fiber metabolism.",dextrin (maltodextrin),,"Maltodextrin utilization (MalEFG ABC transporter/LamB porin), maltodextrin phosphorylase (MalP), debranching enzymes, conversion to glucose-1-P/glucose-6-P, glycolysis"
Bimuno-prebiotic,Bimuno-prebiotic is likely a proprietary blend and not a single defined compound.,use_alternative,high,"Bimuno is a proprietary B-GOS (galactooligosaccharide) mixture (DP ~2–8, multiple β-linked isomers) and is not a single defined compound; it does not appear as a compound entry in KEGG, ModelSEED, BiGG, or MetaCyc. Its bacterial metabolism (transport plus β-galactosidase hydrolysis to galactose/glucose followed by the Leloir/tagatose-6P pathways or the bifid shunt in bifidobacteria) is well documented for B-GOS (e.g., Tzortzis et al., 2005; Vulevic et al., 2015), but in GEMs it cannot be represented as one exchange metabolite. Lactose is the most practical single-compound proxy due to structural similarity and shared catabolic routes.",lactose,KEGG:C00243; ModelSEED:cpd15333; BiGG:lcts; MetaCyc:LACTOSE,Lactose degradation; Galactose metabolism (Leloir pathway); Tagatose-6-phosphate pathway; Bifid shunt (fructose-6-phosphate phosphoketolase pathway) in Bifidobacterium
Bioecolians-prebiotic,Bioecolians-prebiotic is likely a proprietary blend and not a defined chemical compound.,use_alternative,medium,"Bioecolians-prebiotic appears to be a trade-name blend of alpha-glucan oligosaccharides (prebiotic mixture) rather than a single defined metabolite, and it is not listed in KEGG, ModelSEED, BiGG, or MetaCyc. Bacterial utilization of alpha-glucan oligosaccharides proceeds via established maltose/maltodextrin/IMO pathways (GH13 α-glucosidases; MalEFGK/MalPQZ systems), which are represented in biochemical databases by defined compounds such as maltose (KEGG C00073), maltotriose (C05468), and isomaltose (C06445). Therefore, model this carbon source using a defined proxy (e.g., maltose) or a small set of specific oligosaccharides rather than a proprietary mixture.",maltose,KEGG:C00073,"Maltose/maltodextrin utilization (ABC transport MalEFGK; cytosolic α-glucosidase/maltase; maltodextrin phosphorylase), feeding into glycolysis via glucose/Glc-1-P"
Carnitine Hydrochloride,Carnitine is a defined compound but not a typical carbon source for most bacteria.,use_alternative,high,"Carnitine hydrochloride is a dissociating salt; in GSMs you should model the active species L-carnitine and (optionally) chloride separately. L-carnitine is well-defined in major databases (KEGG C00318; ModelSEED cpd00218; BiGG metabolite crn; MetaCyc: L-CARNITINE) and can be taken up via a single exchange; it is metabolized only by certain bacteria via aerobic CntA/B or carnitine dehydrogenase routes (to TMA + malic semialdehyde) and via the E. coli cai anaerobic pathway to crotonobetaine/γ-butyrobetaine (MetaCyc L-carnitine degradation I/II), so growth as a sole carbon source depends on the organism’s genes/pathways.",L-carnitine,KEGG:C00318; ModelSEED:cpd00218; BiGG:crn; MetaCyc:L-CARNITINE,L-carnitine degradation: aerobic (CntA/B or carnitine dehydrogenase) yielding TMA + malic semialdehyde feeding central metabolism; anaerobic (E. coli cai operon) to crotonobetaine/γ-butyrobetaine
CravingZGone-prebiotic,"The name 'CravingZGone-prebiotic' suggests it is a proprietary product, not a defined chemical compound.",use_alternative,medium,"CravingZGone-prebiotic appears to be a proprietary product name and is not a defined chemical entity in KEGG, ModelSEED, BiGG, or MetaCyc, so it cannot be added as a single metabolite/exchange in a GSM. Most commercial 'prebiotic' products are primarily inulin-type fructans/FOS or GOS; these are hydrolyzed by gut bacteria to monosaccharides prior to central metabolism (e.g., Bifidobacterium via β-fructofuranosidases for FOS/inulin; Lactobacillus via similar GH32 enzymes), so a tractable proxy is D-fructose as the terminal hydrolysis product of inulin/FOS. This choice is widely supported by literature on bifidogenic metabolism of inulin/FOS and is compatible with standard GSM databases.",D-fructose,KEGG:C00095; BiGG:fru,"For inulin/FOS-like prebiotics: extracellular/endocellular fructan hydrolases (e.g., β-fructofuranosidases/inulinases, GH32) liberate fructose (± glucose from terminal sucrose), followed by fructose uptake and phosphorylation via fructokinase to fructose-1-phosphate (FruK route) or PTS to fructose-6-phosphate; entry into glycolysis and downstream fermentation to acetate/lactate/propionate/butyrate depending on the organism."
D-Leucrose,D-Leucrose is not a well-known or typical carbon source and requires further investigation to determine its suitability.,use_alternative,medium,"Leucrose (α-D-glucosyl-(1→5)-D-fructose) is a rare sucrose isomer; MetaCyc curates leucrose and a leucrose phosphorylase reaction that yields α-D-glucose-1-phosphate and D-fructose, and leucrose is reported to be produced by bacterial glucansucrases (e.g., Leuconostoc). However, it is not present in common GSM compound libraries (BiGG/ModelSEED) and KEGG pathway annotations for general bacteria are sparse; experimental utilization appears limited to specialized taxa, making broad modeling support impractical. For GSM work, use sucrose (KEGG C00095) or an equimolar D-glucose + D-fructose proxy, which are well-annotated and share the same elemental composition.",Sucrose,,Leucrose phosphorolysis via leucrose phosphorylase to α-D-glucose-1-phosphate + D-fructose (reported in some lactic acid bacteria/Leuconostoc); limited evidence for broad hydrolysis by general disaccharidases.
Fibersol-2-AG-fiber,"Fibersol-2-AG-fiber appears to be a proprietary product, making it difficult to evaluate as a defined chemical compound.",use_alternative,high,"Fibersol-2-AG is a branded digestion-resistant maltodextrin (soluble corn fiber/resistant dextrin), i.e., a heterogeneous mixture of glucose polymers with varied α-linkages, not a single defined metabolite. Major biochemical databases (KEGG, ModelSEED, BiGG, MetaCyc) do not include proprietary products and only represent generic polymer classes (e.g., dextrin/starch) and specific maltooligosaccharides; thus it cannot be added as a single exchange metabolite. Literature shows resistant dextrin (Fibersol-2) is fermented by gut bacteria via starch/dextrin-degrading pathways to SCFAs, so a defined proxy such as maltodextrin/dextrin is appropriate.",maltodextrin (generic dextrin proxy),,"Starch and sucrose metabolism (maltodextrin/dextrin hydrolysis by α-amylase, pullulanase, oligo-1,6-glucosidase) → glucose uptake → glycolysis and fermentation to SCFAs"
Glucuronamide,The compound 'Glucuronamide' is not commonly recognized as a typical carbon source for bacteria and lacks clear mapping to standard biochemical databases.,use_alternative,medium,"Glucuronamide (the amide of D-glucuronic acid) is sparsely represented in standard GSM databases and typically requires an uncurated amidase step to yield D-glucuronate + NH3, so it cannot be modeled as a single exchange without adding custom reactions. In contrast, D-glucuronate is well curated and broadly supported (KEGG ascorbate/aldarate metabolism, map00053; MetaCyc D-glucuronate degradation I/II), and experimental phenotyping (e.g., Biolog GN plates) reports utilization of glucuronamide via hydrolysis to glucuronate. Therefore, use D-glucuronate as a robust proxy unless a specific glucuronamide amidohydrolase is known for the organism.",D-glucuronate (glucuronic acid),KEGG:C00191 (D-glucuronate); BiGG:glcur; MetaCyc:D-GLUCURONATE,Hexuronate (D-glucuronate) catabolism via UxaC/UxuAB to KDG/KDPG entering the Entner–Doudoroff pathway; KEGG map00053 (ascorbate and aldarate metabolism); MetaCyc 'D-glucuronate degradation I/II'.
ISOThrive-prebiotic lot A,ISOThrive-prebiotic lot A is likely a proprietary blend and not a single defined compound.,use_alternative,medium,"ISOThrive-prebiotic lot A appears to be a proprietary IMO/MIMO-type oligosaccharide blend, not a single defined compound, and is not cataloged as a metabolite in KEGG, ModelSEED, BiGG, or MetaCyc. Bacterial utilization of isomalto-oligosaccharides proceeds via alpha-glucosidases/dextranases within starch and sucrose metabolism (KEGG map00500; MetaCyc carbohydrate degradation pathways; CAZy GH13/GH31 families), so a defined proxy such as isomaltose can be modeled. Because the product is a mixture of DP2–DP4 alpha-1,6–linked glucans, a single exchange metabolite is not biochemically precise; use isomaltose (or a small set: isomaltose/panose/isomaltotriose) as proxies.",isomaltose,,"KEGG map00500: Starch and sucrose metabolism; bacterial alpha-1,6-glucan (IMO) hydrolysis via alpha-glucosidases/dextranases leading to glucose uptake and glycolysis"
ISOThrive-prebiotic lot B,"ISOThrive-prebiotic lot B is likely a proprietary blend, not a single defined compound.",use_alternative,medium,"ISOThrive-prebiotic lot B is a proprietary blend (ISOThrive Prebiotic Nectar) composed of maltosyl–isomaltooligosaccharides/IMO rather than a single defined molecule, and does not appear as a unique compound in KEGG, ModelSEED, BiGG, or MetaCyc. Isomaltooligosaccharides are metabolized by gut bacteria via oligo‑1,6‑glucosidase (EC 3.2.1.10) within starch and sucrose metabolism (KEGG map00500; MetaCyc entries for isomaltose degradation; enzyme coverage in CAZy GH13 and BRENDA EC 3.2.1.10). For genome-scale models requiring a single exchange metabolite, using isomaltose as a conservative proxy is feasible, reflecting the α‑1,6‑linked disaccharide core of IMO/MIMO mixtures.",isomaltose,,"Starch and sucrose metabolism; isomaltose/IMO degradation via oligo-1,6-glucosidase (GH13, EC 3.2.1.10)"
