Carbon_Source,Suitable,Category,Recommendation,Reasoning,Suggested_Alternative
(+)-Arabinogalactan,False,polymer,use_monomer,"Arabinogalactan is a heterogeneous polysaccharide of arabinose and galactose, not a single defined metabolite; use the monomer sugars in models.",D-Galactose or L-Arabinose
"1,2-Propanediol",True,simple_metabolite,use,Defined small molecule (propylene glycol) metabolized by bacteria via the propanediol utilization pathway and mappable in KEGG/ModelSEED.,
"1,3-Butandiol",False,simple_metabolite,manual_review,"A defined single diol (butane-1,3-diol) that can be represented as one metabolite, but it is not a typical bacterial carbon source and may require curated catabolic pathways; KEGG/ChEBI mapping is possible.",Glycerol
"1,4-B-D-Galactobiose",True,simple_metabolite,manual_review,"Defined disaccharide (β-1,4-linked D-galactose dimer) that some bacteria can metabolize, but it’s not a common lab carbon source and may lack ready mapping/transport in many GEMs.",D-Galactose
"1,4-Butanediol",False,simple_metabolite,manual_review,"Defined single diol and mappable to databases, but it is not a typical bacterial carbon source and often requires specialized pathways not present in standard GEMs.",Glycerol
"1,5-Pentanediol",False,simple_metabolite,manual_review,"Defined diol that can be represented as a single metabolite and mapped to compound databases, but it is an uncommon carbon source with limited pathway support in typical GEMs; verify organism-specific catabolism before use.",Glycerol
1-Pentanol,True,simple_metabolite,use,"Defined single alcohol (C5H12O) that some bacteria oxidize to pentanal/pentanoate and is mappable in databases (e.g., KEGG/ChEBI).",
2'-Deoxycytidine,True,simple_metabolite,use,A defined nucleoside (2'-deoxycytidine) that is a single metabolite and can be catabolized by many bacteria via nucleoside phosphorylases/deoxyribose pathways; it is mappable in KEGG/ModelSEED.,
2'-Deoxyinosine,True,simple_metabolite,use,Defined deoxynucleoside that maps to KEGG/ModelSEED and can be catabolized by many bacteria via nucleoside phosphorylase to deoxyribose-1-phosphate feeding central metabolism.,
2-Deoxy-D-Ribose,True,simple_metabolite,use,"A defined monosaccharide (2-deoxysugar) that can be represented as a single metabolite, is catabolized by many bacteria via the deoK/deoC pathway, and is mappable in KEGG/ModelSEED.",
2-Deoxy-D-ribonic acid lithium salt,True,simple_metabolite,use,"Defined single compound (use as 2-deoxyribonate; ignore Li), representable as one metabolite and mappable in KEGG/MetaCyc, though it is a niche carbon source.",
2-Deoxyadenosine 5-monophosphate,False,simple_metabolite,exclude,"Defined deoxynucleotide monophosphate that can be mapped to databases, but nucleotides are not typical or readily transported carbon sources for most bacteria.",2-Deoxyadenosine
2-Deoxyadenosine monohydrate,True,simple_metabolite,manual_review,"Defined nucleoside (hydrate form) that maps to databases (e.g., KEGG 2'-deoxyadenosine) and can be modeled as a single metabolite, but it is not a typical universal carbon source and usage is organism-dependent.",D-Glucose
2-Piperidinone,False,simple_metabolite,exclude,A defined lactam but not a typical bacterial carbon source and often lacks pathway representation in GEMs/biochemical databases.,D-Glucose
2-methyl-1-butanol,False,simple_metabolite,manual_review,"Defined branched-chain alcohol and mappable, but it’s not a typical bacterial carbon source and is often toxic; utilization is organism-specific.",glycerol
3-Methyl-2-Oxobutanoic Acid,True,simple_metabolite,use,"A defined keto acid (α-ketoisovalerate) that is a single metabolite, present in KEGG/ModelSEED, and can be catabolized by bacteria via branched-chain keto acid pathways.",
3-methyl-1-butanol,True,simple_metabolite,use,Defined single compound (isoamyl alcohol) representable as one metabolite; many bacteria can oxidize it and it is mappable in KEGG/ModelSEED.,
3-methyl-2-oxopentanoic acid,True,simple_metabolite,use,A defined alpha-keto acid (isoleucine keto acid) that maps to KEGG/ModelSEED and can be catabolized by many bacteria via branched-chain keto acid pathways.,
3-methyl-3-butenol,False,simple_metabolite,exclude,Defined allylic alcohol (isoprenol) but not a typical bacterial carbon source and lacks standard catabolic pathways in GEMs/biochemical databases.,Glycerol
4-Aminobutyric acid,True,simple_metabolite,use,A defined single compound (GABA) that maps to KEGG (C00334) and is metabolized by many bacteria via the GABA shunt to succinate.,
4-Hydroxybenzoic Acid,True,simple_metabolite,use,"A single, well-defined aromatic acid (p-hydroxybenzoate) that maps to KEGG/ModelSEED and is catabolized by many bacteria via protocatechuate/beta-ketoadipate pathways.",
4-Hydroxyvalerate,False,simple_metabolite,manual_review,"Defined small molecule that could be modeled, but it is not a typical bacterial carbon source and database mapping/pathway support may be limited.",Levulinate (4-oxopentanoate)
4-Methyl-2-oxovaleric acid,True,simple_metabolite,use,A defined alpha‑keto acid (alpha‑ketoisocaproate) that maps to KEGG/ModelSEED and can be catabolized by bacteria via branched‑chain 2‑oxo acid pathways.,
5-Aminovaleric acid,True,simple_metabolite,use,"A single, defined compound (5-aminopentanoic acid) that many bacteria can catabolize via lysine/cadaverine–glutarate pathways and is mappable in KEGG/ModelSEED.",
5-Keto-D-Gluconic Acid potassium salt,True,simple_metabolite,use,"Defined sugar acid (potassium salt of 5‑keto‑D‑gluconate) representable as a single metabolite; known to be catabolized by some bacteria and mappable (e.g., as 5‑dehydro‑D‑gluconate in KEGG/ModelSEED).",
6-O-Acetyl-D-glucose,False,simple_metabolite,exclude,"A single defined glucose O-acetyl derivative, but it is not a typical bacterial carbon source and is rarely represented/mapped in standard GEM databases.",D-Glucose
Acetylated xylan,False,polymer,use_monomer,"Acetylated xylan is a heterogeneous polysaccharide with variable acetylation, not a single defined metabolite; use D-xylose (and acetate) as monomers in modeling.",D-Xylose
Actilight,False,proprietary,exclude,"Actilight is a branded mixture of short-chain fructooligosaccharides, not a single defined metabolite for GEMs.",D-Fructose
Adenine hydrochloride hydrate,False,simple_metabolite,exclude,"Defined salt hydrate of adenine (maps to adenine in KEGG/ModelSEED), but adenine is not a typical bacterial carbon source for GEMs.",D-Glucose
Adenosine,True,simple_metabolite,use,"Adenosine is a defined nucleoside represented as a single metabolite; many bacteria can catabolize it (e.g., to ribose via deaminase/phosphorylase), and it maps to KEGG/ModelSEED.",
Agro_defined_trehalose,True,simple_metabolite,use,"This appears to be trehalose, a defined disaccharide that is a common bacterial carbon source and maps to databases (e.g., KEGG C01083).",
Amylose from potato,False,polymer,use_monomer,"Amylose from potato is a variable-length polysaccharide, not a single defined metabolite; represent it via glucose units in GEMs.",D-Glucose
Avantafiber,False,proprietary,manual_review,"Avantafiber appears to be a branded dietary fiber product rather than a single defined metabolite, so it cannot be directly represented in a GEM.",D-Glucose
Azelaic acid,True,simple_metabolite,manual_review,"Azelaic acid (nonanedioic acid) is a defined dicarboxylic acid that can be modeled as a single metabolite and mapped to databases (e.g., KEGG/ChEBI), but it is not a common carbon source and requires specific degradative pathways.",D-Glucose
Beta-Lactose,True,simple_metabolite,use,"Beta-lactose is a defined disaccharide (lactose) commonly metabolized by bacteria and maps to databases (e.g., KEGG C00243, ChEBI), typically modeled as a single lactose metabolite.",
Bimuno-prebiotic,False,proprietary,exclude,"Bimuno is a proprietary galactooligosaccharide prebiotic blend, not a single defined compound and cannot be mapped as one metabolite.",D-Galactose
Bioecolians-prebiotic,False,proprietary,use_monomer,"Branded prebiotic alpha-glucan oligosaccharide mixture, not a single defined compound and not directly mappable to standard databases.",D-Glucose
Butanol,False,unclear,manual_review,"“Butanol” is ambiguous among isomers; specify the exact isomer (e.g., 1-butanol) for modeling and database mapping.",Butan-1-ol (n-butanol)
Butyl stearate,False,simple_metabolite,manual_review,Defined ester (butyl octadecanoate) that is not a typical GEM carbon source and likely requires an esterase/hydrolysis step with uncertain database mapping.,Stearate (octadecanoate) or 1-butanol
Carnitine Hydrochloride,,error,manual_review,GPT-4o evaluation failed,
