orgId,,(+)-Arabinogalactan,"1,2-Propanediol","1,3-Butandiol","1,4-B-D-Galactobiose","1,4-Butanediol","1,5-Pentanediol",1-Pentanol,2'-Deoxycytidine,2'-Deoxyinosine,2-Deoxy-D-Ribose,2-Deoxy-D-ribonic acid lithium salt,2-Deoxyadenosine 5-monophosphate,2-Deoxyadenosine monohydrate,2-Piperidinone,2-methyl-1-butanol,3-Methyl-2-Oxobutanoic Acid,3-methyl-1-butanol,3-methyl-2-oxopentanoic acid,3-methyl-3-butenol,4-Aminobutyric acid,4-Hydroxybenzoic Acid,4-Hydroxyvalerate,4-Methyl-2-oxovaleric acid,5-Aminovaleric acid,6-O-Acetyl-D-glucose,Acetylated xylan,Actilight,Adenine hydrochloride hydrate,Adenosine,Agro_defined_trehalose,Amylose from potato,Avantafiber,Azelaic acid,Beta-Lactose,Bimuno-prebiotic,Bioecolians-prebiotic,Butanol,Butyl stearate,Carnitine Hydrochloride,Chondroitin sulfate A sodium salt from bovine trachea,Citric Acid,CravingZGone-prebiotic,Cytidine,"D,L-Malic Acid",D-(-)-tagatose,D-Alanine,D-Arabinose,D-Cellobiose,D-Fructose,D-Galactose,D-Galacturonic Acid monohydrate,D-Gluconic Acid sodium salt,D-Glucosamine Hydrochloride,D-Glucose,D-Glucose-6-Phosphate sodium salt,D-Glucuronic Acid,D-Leucrose,D-Lysine,D-Maltose monohydrate,D-Mannitol,D-Mannose,D-Raffinose pentahydrate,D-Ribose,D-Salicin,D-Serine,D-Sorbitol,D-Trehalose dihydrate,D-Xylose,Decanoic acid,Deoxyribonucleic acid from herring sperm,Disodium Glutarate,Dodecandioic acid,Ethanol,Ferulic Acid,Fibersol-2-AG-fiber,Fructooligosaccharides (FOS),Fructooligosaccharides from chicory,Fumaric acid,Gelatin,Glucuronamide,Gly-DL-Asp,Gly-Glu,Glycerol,Glycine,Glycolic Acid,Heparin sodium salt from porcine intestinal mucosa,Heptanoic acid,Hexanoic acid,Hyaluronic acid sodium salt from Streptococcus equi,Hydroxy-L-Proline,ISOThrive-prebiotic lot A,ISOThrive-prebiotic lot B,ISOThrive-prebiotic lot C,ISOThrive-prebiotic lot D,Inosine,Inulin from chicory,Isomaltose,L-(-)-sorbose,L-Alanine,L-Arabinose,L-Arginine,L-Asparagine,L-Aspartic Acid,L-Citrulline,L-Fucose,L-Glutamic acid monopotassium salt monohydrate,L-Glutamine,L-Histidine,L-Isoleucine,L-Leucine,L-Lysine,L-Malic acid disodium salt monohydrate,L-Ornithine,L-Phenylalanine,L-Proline,L-Rhamnose monohydrate,L-Serine,L-Threonine,L-Tryptophan,L-Valine,L-tyrosine disodium salt,Lactitol,Lacto-N-neotetraose,Lacto-N-tetraose,Lactulose,Laminaribiose,Laminarin from Laminaria digitata,Lauric acid,Levan - from Erwinia herbicola,Levulinic Acid,Malonic acid,Maltitol,Maltodextrin,Maltohexaose,Maltotetraose,Mannan from Saccharomyces cerevisiae,Melibiose,Methyl-B-D-galactopyranoside,Myristic acid,N-Acetyl-D-Glucosamine,Nonanoic acid,Octanoic acid,Oleic acid,Pectin,Phenylacetic acid,Pimelic acid,Potassium acetate,Prebiotin-prebiotic,PreticX-prebiotic,Promitor-fiber,Protocatechuic Acid,Putrescine Dihydrochloride,Red Arabinan from sugar-beet,Rhamnogalacturonan - from potato,Sebacic acid,Shikimic Acid,"Sodium D,L-Lactate",Sodium D-Lactate,Sodium Formate,Sodium Fumarate dibasic,Sodium L-Lactate,Sodium acetate,Sodium adipate,Sodium butyrate,Sodium octanoate,Sodium propionate,Sodium pyruvate,Sodium succinate dibasic hexahydrate,Stachyose - 70%,Starch,Suberic acid,Succinic Acid,Sucrose,Sunfiber-fiber,Supernatant; Agrobacterium rhizogenes K599 grown in Agro_defined_trehalose (~7.5 mM 3-keto-trehalose),Thymidine,Trisodium citrate dihydrate,Tween 20,Uridine,Valeric acid,Vanillic Acid,Vanillin,Vitafiber-prebiotic,Vitagos-prebiotic,WakoIMO-prebiotic,Xylitol,Yacontrol-prebiotic,a-Cyclodextrin,a-Ketoglutaric acid disodium salt hydrate,amylopectin from maize,benzoic acid,casamino acids,"dextran, Mw ~200,000",m-Inositol,p-Coumaric acid,palatinose hydrate,polygalacturonic acid
ANA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BFirm,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Bifido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
Brev2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Btheta,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1
Burk376,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkholderia_OAS925,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
Bvulgatus_CL09T03C04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
