,Gammaproteobacteria: Shewanella sp. ANA-3,Betaproteobacteria: Burkholderia phytofirmans PsJN,Actinobacteria: Bifidobacterium breve UCC2003,Alphaproteobacteria: Brevundimonas sp. GW460-12-10-14-LB2,Bacteroidetes: Bacteroides thetaiotaomicron VPI-5482,Betaproteobacteria: Paraburkholderia bryophila 376MFSha3.1,Betaproteobacteria: Paraburkholderia graminis OAS925,Bacteroidetes: Phocaeicola vulgatus CL09T03C04,Betaproteobacteria: Ralstonia sp. UNC404CL21Col,Alphaproteobacteria: Caulobacter crescentus NA1000,"Bacteroidetes: Echinicola vietnamensis KMM 6221, DSM 17526",Betaproteobacteria: Cupriavidus basilensis FW507-4G11,Gammaproteobacteria: Dickeya dadantii 3937,Gammaproteobacteria: Dickeya dianthicola 67-19,Gammaproteobacteria: Dickeya dianthicola ME23,Alphaproteobacteria: Dinoroseobacter shibae DFL-12,Deltaproteobacteria: Desulfovibrio vulgaris Hildenborough JW710,Gammaproteobacteria: Dyella japonica UNC79MFTsu3.2,Betaproteobacteria: Herbaspirillum seropedicae SmR1,Gammaproteobacteria: Kangiella aquimarina DSM 16071,Gammaproteobacteria: Escherichia coli BW25113,Alphaproteobacteria: Sphingomonas koreensis DSMZ 15582,Gammaproteobacteria: Klebsiella michiganensis M5al,Gammaproteobacteria: Lysobacter sp. OAE881,Gammaproteobacteria: Shewanella oneidensis MR-1,Alphaproteobacteria: Magnetospirillum magneticum AMB-1,Gammaproteobacteria: Marinobacter adhaerens HP15,Euryarchaeota: Methanococcus maripaludis JJ,Euryarchaeota: Methanococcus maripaludis S2,Deltaproteobacteria: Desulfovibrio vulgaris Miyazaki F,Betaproteobacteria: Dechlorosoma suillum PS,Gammaproteobacteria: Shewanella loihica PV-4,Bacteroidetes: Pedobacter sp. GW460-11-11-14-LB5,Alphaproteobacteria: Phaeobacter inhibens DSM 17395,"Bacteroidetes: Pontibacter actiniarum KMM 6156, DSM 19842",Gammaproteobacteria: Pseudomonas putida KT2440,Betaproteobacteria: Ralstonia solanacearum IBSBF1503,Betaproteobacteria: Ralstonia solanacearum GMI1000,Betaproteobacteria: Ralstonia solanacearum PSI07,Betaproteobacteria: Ralstonia solanacearum UW163,Gammaproteobacteria: Shewanella amazonensis SB2B,Alphaproteobacteria: Sinorhizobium meliloti 1021,Cyanobacteria: Synechococcus elongatus PCC 7942,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a,Gammaproteobacteria: Pseudomonas syringae pv. syringae B728a &Delta;mexB,Betaproteobacteria: Variovorax sp. OAS795,Gammaproteobacteria: Pseudomonas simiae WCS417,Gammaproteobacteria: Xanthomonas campestris pv. campestris strain 8004,Betaproteobacteria: Acidovorax sp. GW101-3H11,Alphaproteobacteria: Azospirillum brasilense Sp245,Gammaproteobacteria: Pseudomonas stutzeri RCH2,Gammaproteobacteria: Pseudomonas fluorescens GW456-L13,Gammaproteobacteria: Pseudomonas fluorescens FW300-N1B4,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2C3,Gammaproteobacteria: Pseudomonas fluorescens FW300-N2E2,Gammaproteobacteria: Rhodanobacter denitrificans FW104-10B01
(+)-Arabinogalactan,,,,,Growth,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Pentanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,2-Propanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,3-Butandiol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,4-B-D-Galactobiose",,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,4-Butanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
"1,5-Pentanediol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
2'-Deoxycytidine,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2'-Deoxyinosine,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxy-D-ribonic acid lithium salt,,Growth,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxy-D-Ribose,No Growth,Growth,,,,No Growth,Growth,,,No Growth,No Growth,No Growth,,,,No Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,,Growth,No Growth,,No Growth,,,,No Growth,No Growth,No Growth,No Growth,,,,,,,No Growth,No Growth,,,,Growth,Growth,,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,No Growth,
2-Deoxyadenosine monohydrate,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Deoxyadenosine 5-monophosphate,,Growth,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
2-Piperidinone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-1-butanol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-Methyl-2-Oxobutanoic Acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-2-oxopentanoic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
3-methyl-3-butenol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
4-Aminobutyric acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth,,,,,,,,,,,,,,,,,,,,,
