,Acidovorax sp. GW101-3H11,Azospirillum brasilense sp. 245,Burkholderia phytofirmans PsJN,Caulobacter crescentus NA1000,Cupriavidus basilensis 4G11,Dechlorosoma suillum PS,Dinoroseobacter shibae DFL-12,Dyella japonica UNC79MFTsu3.2 IMG taxon ID 2556921674,Echinicola vietnamensis DSM 17526,Escherichia coli BW25113,Herbaspirillum seropedicae SmR1,Klebsiella michiganensis M5a1,Marinobacter adhaerens HP15,Pedobacter sp. GW460-11-11-14-LB5,Phaeobacter inhibens BS107,Pseudomonas fluorescens FW300-N1B4,Pseudomonas fluorescens FW300-N2C3,Pseudomonas fluorescens FW300-N2E2,Pseudomonas fluorescens FW300-N2E3,Pseudomonas fluorescens GW456-L13,Pseudomonas simiae WCS417,Pseudomonas stutzeri RCH2,Shewanella amazonensis SB2B,Shewanella loihica PV-4,Shewanella oneidensis MR-1,Shewanella sp. ANA-3,Sinorhizobium meliloti 1021,Sphingomonas koreensis DSMZ 15582
D-Glucose,True,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True
D-Fructose,True,True,True,False,True,False,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,False,False,False,True,True
Sucrose,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True
L-Arabinose,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,False,True,True,False,False,False,False,True,True,False
D-Arabinose,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
D-Maltose monohydrate,False,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,True,True
L-Sorbose,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
D-Xylose,False,True,True,True,False,False,False,False,True,True,True,True,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True
D-Galactose,True,False,True,False,False,False,False,True,True,True,True,False,False,True,False,True,True,True,False,True,True,False,False,True,False,False,True,False
D-Raffinose pentahydrate,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
L-Rhamnose monohydrate,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
a-Cyclodextrin,False,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
D-Ribose,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,False,False,False,False,True,False
L-Fucose,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
a-Ketoglutaric acid disodium salt hydrate,True,True,False,False,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False
5-Keto-D-Gluconic Acid potassium salt,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Itaconic Acid,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
D-Glucuronic Acid,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False
D-Gluconic Acid sodium salt,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False
D-Glucose-6-Phosphate sodium salt,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Potassium acetate,False,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False
Sodium Fumarate dibasic,True,True,True,False,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False
D-Cellobiose,False,False,False,True,False,False,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True
2-Deoxy-D-Ribose,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Trisodium citrate dihydrate,False,False,True,False,True,False,True,False,False,False,True,True,True,False,True,False,False,True,True,True,True,True,False,False,False,False,False,False
Citric Acid,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sodium D-Lactate,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,True,True,False,False
Sodium L-Lactate,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
"Sodium D,L-Lactate",True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
Sodium pyruvate,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,True,False
Sodium succinate dibasic hexahydrate,True,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False
Sodium propionate,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,False
Sodium Formate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Xylitol,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Glycolic Acid,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
D-Mannitol,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,False,False,False,True,True
4-Hydroxybenzoic Acid,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,True,True,False,True,False,False,False,False,False,False,False
