Carbon_Source_Original,ModelSEED_ID,ModelSEED_Name,Formula,Mass,Charge,Mapping_Method,Confidence,AI_Explanation,Duplicate_IDs
"1,2-Propanediol",cpd00453,"1,2-Propanediol",C3H8O2,76,0,round1_template,High,,
1-Pentanol,cpd16586,1-Pentanol,C5H12O,88,0,round1_template,High,,
2-Deoxy-D-Ribose,cpd01242,Thyminose,C5H10O4,134,0,round1_modelseed_local,High,,
2-methyl-1-butanol,cpd16873,2-methyl-1-butanol,C5H12O,0,0,round1_template,High,,
3-Methyl-2-Oxobutanoic Acid,cpd00123,3-Methyl-2-oxobutanoate,C5H7O3,115,-1,round1_modelseed_local,High,,
3-methyl-1-butanol,cpd04533,Isoamyl alcohol,C5H12O,88,0,round1_modelseed_local,High,,
4-Aminobutyric acid,cpd00281,GABA,C4H9NO2,103,0,round1_modelseed_local,High,,
4-Hydroxybenzoic Acid,cpd00136,4-Hydroxybenzoate,C7H5O3,137,-1,round1_modelseed_local,High,,
5-Aminovaleric acid,cpd00339,5-Aminopentanoate,C5H11NO2,117,0,round1_modelseed_local,High,,
Adenosine,cpd00182,Adenosine,C10H13N5O4,267,0,round1_template,High,,
Beta-Lactose,cpd01354,beta-Lactose,C12H22O11,342,0,round1_template,High,,
Butanol,cpd03662,n-Butanol,C4H10O,74,0,round1_modelseed_local,High,,cpd10408
Citric Acid,cpd00137,Citrate,C6H5O7,189,-3,round1_modelseed_local,High,,
Cytidine,cpd00367,Cytidine,C9H13N3O5,243,0,round1_template,High,,
D-Alanine,cpd00117,D-Alanine,C3H7NO2,89,0,round1_template,High,,
D-Arabinose,cpd00185,D-Arabinose,C5H10O5,150,0,round1_template,High,,
D-Fructose,cpd00082,D-Fructose,C6H12O6,180,0,round1_template,High,,
D-Galactose,cpd00108,Galactose,C6H12O6,180,0,round1_modelseed_local,High,,cpd00709
D-Glucose,cpd00027,D-Glucose,C6H12O6,180,0,round1_template,High,,
D-Lysine,cpd00549,D-Lysine,C6H15N2O2,147,1,round1_template,High,,
D-Mannitol,cpd00314,D-Mannitol,C6H14O6,182,0,round1_template,High,,
D-Mannose,cpd00138,D-Mannose,C6H12O6,180,0,round1_template,High,,
D-Ribose,cpd00105,D-Ribose,C5H10O5,150,0,round1_template,High,,
D-Salicin,cpd01030,Salicin,C13H18O7,286,0,round1_modelseed_local,High,,
D-Serine,cpd00550,D-Serine,C3H7NO3,105,0,round1_template,High,,
D-Sorbitol,cpd00588,Sorbitol,C6H14O6,182,0,round1_modelseed_local,High,,
D-Tagatose,cpd00589,D-Tagatose,C6H12O6,180,0,round1_template,High,,
D-Xylose,cpd00154,Xylose,C5H10O5,150,0,round1_modelseed_local,High,,
Decanoic acid,cpd01107,Decanoate,C10H19O2,171,-1,round1_modelseed_local,High,,
Ethanol,cpd00363,Ethanol,C2H6O,46,0,round1_template,High,,
Ferulic Acid,cpd01059,Ferulate,C10H9O4,193,-1,round1_modelseed_local,High,,
Fumaric acid,cpd00106,Fumarate,C4H2O4,114,-2,round1_modelseed_local,High,,
Glycerol,cpd00100,Glycerol,C3H8O3,92,0,round1_template,High,,
Glycine,cpd00033,Glycine,C2H5NO2,75,0,round1_template,High,,
Glycolic Acid,cpd00139,Glycolate,C2H3O3,75,-1,round1_modelseed_local,High,,
Heptanoic acid,cpd15608,HPA,C7H13O2,129,-1,round1_modelseed_local,High,,
Hexanoic acid,cpd01113,Hexanoate,C6H11O2,115,-1,round1_modelseed_local,High,,
Inosine,cpd00246,Inosine,C10H12N4O5,268,0,round1_template,High,,
Isomaltose,cpd00217,Brachiose,C12H22O11,342,0,round1_modelseed_local,High,,
Itaconic Acid,cpd00380,Itaconate,C5H4O4,128,-2,round1_modelseed_local,High,,
L-Alanine,cpd00035,L-Alanine,C3H7NO2,89,0,round1_template,High,,
L-Arabinose,cpd00224,L-Arabinose,C5H10O5,150,0,round1_template,High,,
L-Arginine,cpd00051,L-Arginine,C6H15N4O2,175,1,round1_template,High,,
L-Asparagine,cpd00132,L-Asparagine,C4H8N2O3,132,0,round1_template,High,,
L-Aspartic Acid,cpd00041,L-Aspartate,C4H6NO4,132,-1,round1_modelseed_local,High,,
L-Citrulline,cpd00274,Citrulline,C6H13N3O3,175,0,round1_modelseed_local,High,,
L-Fucose,cpd00751,L-Fucose,C6H12O5,164,0,round1_template,High,,
L-Glutamine,cpd00053,L-Glutamine,C5H10N2O3,146,0,round1_template,High,,
L-Histidine,cpd00119,L-Histidine,C6H9N3O2,155,0,round1_template,High,,
L-Isoleucine,cpd00322,L-Isoleucine,C6H13NO2,131,0,round1_template,High,,
L-Leucine,cpd00107,L-Leucine,C6H13NO2,131,0,round1_template,High,,
L-Lysine,cpd00039,L-Lysine,C6H15N2O2,147,1,round1_template,High,,
L-Methionine,cpd00060,L-Methionine,C5H11NO2S,149,0,round1_template,High,,
L-Ornithine,cpd00064,Ornithine,C5H13N2O2,133,1,round1_modelseed_local,High,,
L-Phenylalanine,cpd00066,L-Phenylalanine,C9H11NO2,165,0,round1_template,High,,
L-Proline,cpd00129,L-Proline,C5H9NO2,114,0,round1_template,High,,
L-Serine,cpd00054,L-Serine,C3H7NO3,105,0,round1_template,High,,
L-Sorbose,cpd00212,L-Sorbose,C6H12O6,180,0,round1_template,High,,
L-Threonine,cpd00161,L-Threonine,C4H9NO3,119,0,round1_template,High,,
L-Tryptophan,cpd00065,L-Tryptophan,C11H12N2O2,204,0,round1_template,High,,
L-Valine,cpd00156,L-Valine,C5H11NO2,117,0,round1_template,High,,
Lacto-N-tetraose,cpd03807,Lacto-N-tetraose,C26H45NO21,707,0,round1_template,High,,
Lactulose,cpd04349,Lactulose,C12H22O11,342,0,round1_template,High,,
Lauric acid,cpd01741,ddca,C12H23O2,199,-1,round1_modelseed_local,High,,
Malonic acid,cpd00308,Malonate,C3H2O4,102,-2,round1_modelseed_local,High,,
Melibiose,cpd03198,Melibiose,C12H22O11,342,0,round1_template,High,,
Myristic acid,cpd03847,Myristic acid,C14H27O2,227,-1,round1_template,High,,
