organism,orgId,carbon_source,error
Acidovorax sp. GW101-3H11,acidovorax_3H11,"1,2-Propanediol",FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,"1,3-Butandiol",FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,1-Pentanol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,2-Deoxy-D-Ribose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,2-methyl-1-butanol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,3-Methyl-2-Oxobutanoic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,3-methyl-1-butanol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,3-methyl-2-oxopentanoic acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,4-Aminobutyric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,4-Hydroxybenzoic Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,4-Methyl-2-oxovaleric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,5-Aminovaleric acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Adenosine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Agro_defined_trehalose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Beta-Lactose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Butanol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Citric Acid,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Cytidine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,"D,L-Malic Acid",FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Alanine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Arabinose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Fructose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Galactose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Galacturonic Acid monohydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Glucosamine Hydrochloride,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Glucose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Glucose-6-Phosphate sodium salt,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Lysine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Mannitol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Mannose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Raffinose pentahydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Ribose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Salicin,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Serine,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Sorbitol,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Tagatose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Trehalose dihydrate,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,D-Xylose,FBA error: 'cpd00007'
Acidovorax sp. GW101-3H11,acidovorax_3H11,Decanoic acid,FBA error: 'cpd00007'
