orgId,organism,cpd10515,cpd00244,cpd11574,cpd10516,cpd00149,cpd00063,cpd00058,cpd00034,cpd00030,cpd00009,cpd00013,cpd00048,cpd00007,cpd00001,cpd00099,cpd00067,cpd00205,cpd00254,cpd00971,FN,n_comparisons,accuracy,recall,FN_rate,missing_priority_metals
ANA3,Shewanella sp. ANA-3,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,13,75,0.7066666666666667,0.4583333333333333,0.17333333333333334,1
BFirm,Burkholderia phytofirmans PsJN,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,27,81,0.5802469135802469,0.3720930232558139,0.3333333333333333,1
Bifido,Bifidobacterium breve UCC2003,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7,9,0.2222222222222222,0.2222222222222222,0.7777777777777778,2
Brev2,Brevundimonas sp. GW460-12-10-14-LB2,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1.0,1.0,0.0,2
Btheta,Bacteroides thetaiotaomicron VPI-5482,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,20,0.1,0.1,0.9,2
Burk376,Paraburkholderia bryophila 376MFSha3.1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,14,0.2857142857142857,0.2857142857142857,0.7142857142857143,1
Burkholderia_OAS925,Paraburkholderia graminis OAS925,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,31,53,0.4150943396226415,0.4150943396226415,0.5849056603773585,1
Bvulgatus_CL09T03C04,Phocaeicola vulgatus CL09T03C04,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,4,0.25,0.25,0.75,2
CL21,Ralstonia sp. UNC404CL21Col,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,13,15,0.1333333333333333,0.1333333333333333,0.8666666666666667,0
Caulo,Caulobacter crescentus NA1000,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,75,0.7733333333333333,0.0769230769230769,0.16,1
Cola,"Echinicola vietnamensis KMM 6221, DSM 17526",True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,12,0.25,0.25,0.75,1
Cup4G11,Cupriavidus basilensis FW507-4G11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,31,1.0,1.0,0.0,0
Dda3937,Dickeya dadantii 3937,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1.0,1.0,0.0,0
Ddia6719,Dickeya dianthicola 67-19,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1.0,1.0,0.0,0
DdiaME23,Dickeya dianthicola ME23,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1.0,1.0,0.0,0
Dino,Dinoroseobacter shibae DFL-12,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,13,75,0.72,0.3809523809523809,0.17333333333333334,1
Dyella79,Dyella japonica UNC79MFTsu3.2,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,7,0.4285714285714285,0.4285714285714285,0.5714285714285714,1
HerbieS,Herbaspirillum seropedicae SmR1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,19,76,0.7236842105263158,0.4411764705882353,0.25,0
Keio,Escherichia coli BW25113,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,75,0.6933333333333334,0.8484848484848485,0.06666666666666667,0
Korea,Sphingomonas koreensis DSMZ 15582,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,8,75,0.7866666666666666,0.1111111111111111,0.10666666666666667,1
Koxy,Klebsiella michiganensis M5al,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,7,30,0.7666666666666667,0.7666666666666667,0.23333333333333334,0
Lysobacter_OAE881,Lysobacter sp. OAE881,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,13,0.3076923076923077,0.3076923076923077,0.6923076923076923,1
MR1,Shewanella oneidensis MR-1,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,10,75,0.68,0.375,0.13333333333333333,1
Magneto,Magnetospirillum magneticum AMB-1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0,1,1.0,1.0,0.0,0
Marino,Marinobacter adhaerens HP15,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,75,0.8133333333333334,0.4705882352941176,0.12,1
Miya,Desulfovibrio vulgaris Miyazaki F,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,2,4,0.5,0.5,0.5,0
PS,Dechlorosoma suillum PS,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,76,0.8947368421052632,0.5384615384615384,0.07894736842105263,0
PV4,Shewanella loihica PV-4,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,9,75,0.6933333333333334,0.4,0.12,1
Pedo557,Pedobacter sp. GW460-11-11-14-LB5,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,11,77,0.7272727272727273,0.2666666666666666,0.14285714285714285,2
Phaeo,Phaeobacter inhibens DSM 17395,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,18,30,0.4,0.4,0.6,1
Putida,Pseudomonas putida KT2440,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,37,46,0.1956521739130435,0.1956521739130435,0.8043478260869565,1
SB2B,Shewanella amazonensis SB2B,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,14,75,0.7066666666666667,0.44,0.18666666666666668,1
Smeli,Sinorhizobium meliloti 1021,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,28,75,0.5733333333333334,0.2432432432432432,0.37333333333333335,1
Variovorax_OAS795,Variovorax sp. OAS795,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,27,41,0.3414634146341463,0.3414634146341463,0.6585365853658537,0
WCS417,Pseudomonas simiae WCS417,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,29,76,0.5131578947368421,0.4528301886792453,0.3815789473684211,0
acidovorax_3H11,Acidovorax sp. GW101-3H11,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,15,75,0.72,0.375,0.2,0
azobra,Azospirillum brasilense Sp245,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,4,14,0.7142857142857143,0.7142857142857143,0.2857142857142857,0
psRCH2,Pseudomonas stutzeri RCH2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,15,75,0.7333333333333333,0.5161290322580645,0.2,1
pseudo13_GW456_L13,Pseudomonas fluorescens GW456-L13,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,25,75,0.5733333333333334,0.4186046511627907,0.3333333333333333,1
pseudo1_N1B4,Pseudomonas fluorescens FW300-N1B4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,75,0.5466666666666666,0.4347826086956521,0.3466666666666667,1
pseudo3_N2E3,Pseudomonas fluorescens FW300-N2E3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,24,76,0.618421052631579,0.5102040816326531,0.3157894736842105,0
pseudo5_N2C3_1,Pseudomonas fluorescens FW300-N2C3,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,26,75,0.5466666666666666,0.4468085106382978,0.3466666666666667,1
pseudo6_N2E2,Pseudomonas fluorescens FW300-N2E2,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,75,0.5866666666666667,0.4054054054054054,0.29333333333333333,1
rhodanobacter_10B01,Rhodanobacter denitrificans FW104-10B01,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,6,10,0.4,0.4,0.6,1
