organism,carbon_source,experimental,predicted,biomass_flux,missing_compounds,num_missing
Shewanella sp. ANA-3,D-Glucosamine Hydrochloride,1,0,0.0,"cpd00244,cpd00276",2
Shewanella sp. ANA-3,Gly-Glu,1,0,0.0,"cpd00244,cpd11592",2
Shewanella sp. ANA-3,L-Arabinose,1,0,0.0,"cpd00244,cpd00224",2
Shewanella sp. ANA-3,L-Glutamine,1,0,0.0,"cpd00244,cpd00053",2
Shewanella sp. ANA-3,L-Isoleucine,1,0,0.0,"cpd00244,cpd00322",2
Shewanella sp. ANA-3,L-Leucine,1,0,0.0,"cpd00244,cpd00107",2
Shewanella sp. ANA-3,L-Threonine,1,0,0.0,"cpd00244,cpd00161",2
Shewanella sp. ANA-3,N-Acetyl-D-Glucosamine,1,0,0.0,"cpd00244,cpd00122",2
Shewanella sp. ANA-3,Putrescine Dihydrochloride,1,0,0.0,cpd00244,1
Shewanella sp. ANA-3,"Sodium D,L-Lactate",1,0,0.0,cpd00244,1
Shewanella sp. ANA-3,Sodium L-Lactate,1,0,0.0,cpd00244,1
Shewanella sp. ANA-3,Sodium propionate,1,0,0.0,cpd00244,1
Shewanella sp. ANA-3,Thymidine,1,0,0.0,cpd00244,1
Burkholderia phytofirmans PsJN,D-Alanine,1,0,0.0,"cpd10515,cpd00117",2
Burkholderia phytofirmans PsJN,D-Fructose,1,0,0.0,"cpd10515,cpd00082",2
Burkholderia phytofirmans PsJN,D-Galactose,1,0,0.0,"cpd10515,cpd00108",2
Burkholderia phytofirmans PsJN,D-Galacturonic Acid monohydrate,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,D-Glucosamine Hydrochloride,1,0,0.0,"cpd10515,cpd00276",2
Burkholderia phytofirmans PsJN,D-Glucose,1,0,0.0,"cpd10515,cpd00027",2
Burkholderia phytofirmans PsJN,D-Mannitol,1,0,0.0,"cpd10515,cpd00314",2
Burkholderia phytofirmans PsJN,D-Mannose,1,0,0.0,"cpd10515,cpd00138",2
Burkholderia phytofirmans PsJN,D-Sorbitol,1,0,0.0,"cpd10515,cpd00588",2
Burkholderia phytofirmans PsJN,Disodium Glutarate,1,0,0.0,cpd10515,1
Burkholderia phytofirmans PsJN,Gly-Glu,1,0,0.0,"cpd10515,cpd11592",2
