organism,carbon_source,experimental,predicted,biomass_flux,missing_compounds,num_missing
Shewanella sp. ANA-3,"D,L-Malic Acid",0,1,0.3842239785754711,cpd00244,1
Shewanella sp. ANA-3,D-Alanine,0,1,0.3842239785754684,cpd00244,1
Shewanella sp. ANA-3,D-Glucose,0,1,0.7684479571509385,cpd00244,1
Shewanella sp. ANA-3,Ethanol,0,1,0.281436438371818,cpd00244,1
Shewanella sp. ANA-3,L-Aspartic Acid,0,1,0.3842239785754689,cpd00244,1
Shewanella sp. ANA-3,L-Proline,0,1,0.7035910959295235,cpd00244,1
Shewanella sp. ANA-3,L-tyrosine disodium salt,0,1,0.9663259284503724,cpd00244,1
Shewanella sp. ANA-3,Sodium Formate,0,1,0.0640373297625775,cpd00244,1
Shewanella sp. ANA-3,Sodium pyruvate,0,1,0.3201866488128925,cpd00244,1
Burkholderia phytofirmans PsJN,Citric Acid,0,1,0.8440432584820701,cpd10515,1
Burkholderia phytofirmans PsJN,Ethanol,0,1,0.2813477528273765,cpd10515,1
Burkholderia phytofirmans PsJN,Glycerol,0,1,0.4220216292410746,cpd10515,1
Burkholderia phytofirmans PsJN,L-Aspartic Acid,0,1,0.5626955056547582,cpd10515,1
Burkholderia phytofirmans PsJN,L-tyrosine disodium salt,0,1,1.2660648877230634,cpd10515,1
Burkholderia phytofirmans PsJN,Sodium Formate,0,1,0.1406738764136861,cpd10515,1
Burkholderia phytofirmans PsJN,a-Ketoglutaric acid disodium salt hydrate,0,1,0.7033693820684527,cpd10515,1
Caulobacter crescentus NA1000,Ethanol,0,1,0.2814364383718228,cpd00244,1
Caulobacter crescentus NA1000,Potassium acetate,0,1,0.281436438371822,cpd00244,1
Caulobacter crescentus NA1000,Sodium Fumarate dibasic,0,1,0.3742467181330803,cpd00244,1
Caulobacter crescentus NA1000,Sodium pyruvate,0,1,0.3742467181330767,cpd00244,1
Caulobacter crescentus NA1000,Sodium succinate dibasic hexahydrate,0,1,0.3742467181330883,cpd00244,1
Dinoroseobacter shibae DFL-12,D-Alanine,0,1,0.4222687485973037,cpd10515,1
Dinoroseobacter shibae DFL-12,D-Xylose,0,1,0.7037812476621753,cpd10515,1
Dinoroseobacter shibae DFL-12,Ethanol,0,1,0.2815124990648674,cpd10515,1
Dinoroseobacter shibae DFL-12,L-Alanine,0,1,0.4222687485973084,cpd10515,1
Dinoroseobacter shibae DFL-12,L-Arginine,0,1,0.8445374971946201,cpd10515,1
Dinoroseobacter shibae DFL-12,L-Aspartic Acid,0,1,0.563024998129737,cpd10515,1
Dinoroseobacter shibae DFL-12,L-Proline,0,1,0.7037812476621248,cpd10515,1
Dinoroseobacter shibae DFL-12,Sodium Formate,0,1,0.1407562495324286,cpd10515,1
Herbaspirillum seropedicae SmR1,Ethanol,0,1,0.3730468093630558,,0
Herbaspirillum seropedicae SmR1,L-Aspartic Acid,0,1,0.3730468093630364,,0
Escherichia coli BW25113,Adenosine,0,1,0.7296357365873873,,0
Escherichia coli BW25113,Citric Acid,0,1,0.5763359678632007,,0
Escherichia coli BW25113,Ethanol,0,1,0.2814364383718156,,0
Escherichia coli BW25113,Glycine,0,1,0.192111989287782,,0
Escherichia coli BW25113,Inosine,0,1,0.7296357365874014,,0
Escherichia coli BW25113,L-Arabinose,0,1,0.6403732976257842,,0
Escherichia coli BW25113,L-Arginine,0,1,0.7044106273858354,,0
