orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Dino	set1H16	m.b.  nitrate 300 mM	8/22/2013 Dino_ML3_set1	16	1957539	1657	1214200	1212234	91	167	380.368371509256	0.232784145033137	0.353226454582903	0.837823628344903	0.826567001681368	0.226673717824219	0.145987051864982	-0.170402542781139	4.57842584273862	stress	marine broth with Sodium nitrate 300 mM	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H16	marine_broth_2216	26		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium nitrate	mM	300										642	B1,B2
Dino	set1H19	m.b.  Chlorate 40 mM	8/22/2013 Dino_ML3_set1	19	1638462	1289	1023620	1022259	57	167	320.759021022906	0.355820307924185	0.460251223469596	0.975403048311546	0.826567001681368	0.302849083287465	0.243096592326397	-0.198636059240791	3.68317058163049	stress	marine broth with Sodium Chlorate 40 mM	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H19	marine_broth_2216	26		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium Chlorate	mM	40										642	C7,C8
Dino	set1H20	m.b.  Chlorite 0.5 mM	8/22/2013 Dino_ML3_set1	20	2087347	1705	1292478	1290323	115	167	404.87072481958	0.153219670161305	0.333371520635983	0.838431443215665	0.826567001681368	0.104276060940237	0.0404557867683974	-0.0467929198334045	2.92210122006304	stress	marine broth with Sodium Chlorite 0.5 mM	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H20	marine_broth_2216	26		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium Chlorite	mM	0.5										642	D3,D4
Dino	set1H21	m.b.  perchlorate 50 mM	8/22/2013 Dino_ML3_set1	21	1921893	1523	1198829	1196847	96	167	375.540320050204	0.325322002979772	0.356805313539173	0.865901944525214	0.826567001681368	0.292471243249557	0.118482913411303	-0.139355824316974	3.65690364874199	stress	marine broth with Sodium perchlorate monohydrate 50 mM	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H21	marine_broth_2216	26		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium perchlorate monohydrate	mM	50										642	D7,D8
Dino	set1H25	m.b.  Benzalkonium Chloride 0.0001 mg/ml	8/22/2013 Dino_ML3_set1	25	1333405	1024	826176	824604	85	167	258.73988076561	0.272951920053243	0.423809762248859	0.855329600145826	0.826567001681368	0.227209199586302	0.0755576925619964	0.0759587354762413	3.03148813393789	stress	marine broth with Benzalkonium Chloride 0.0001 mg/ml	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H25	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Benzalkonium Chloride	mg/ml	1e-04										643	A7,A8
Dino	set1H28	m.b.  benzoic 0.32 mg/ml	8/22/2013 Dino_ML3_set1	28	1859748	1630	1157391	1155382	91	167	362.529651710072	0.221319226267856	0.316839565009236	0.843962189469465	0.826567001681368	0.202779900211607	0.0580287145886655	-0.125053384233752	4.60758434893441	stress	marine broth with benzoic acid 0.32 mg/ml	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H28	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	benzoic acid	mg/ml	0.32										643	C7,C8
Dino	set1H30	m.b.  Fusidic 0.0002 mg/ml	8/22/2013 Dino_ML3_set1	30	1740798	1585	1082806	1081253	67	167	339.269846250392	0.339344606616614	0.363022901047482	0.877630121712003	0.826567001681368	0.303618337301621	0.199232212499453	-0.164698048291264	3.12415555505588	stress	marine broth with Fusidic acid sodium salt 0.0002 mg/ml	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H30	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Fusidic acid sodium salt	mg/ml	2e-04										643	E5,E6
Dino	set1H33	m.b.  A22 0.01 mg/ml	8/22/2013 Dino_ML3_set1	33	2127129	1761	1323138	1320993	99	167	414.494195167869	0.393452338633669	0.333367793870302	0.834303224045199	0.826567001681368	0.428795484167836	0.239274524060928	-0.146983538336045	4.32673410112441	stress	marine broth with MreB Perturbing Compound A22 0.01 mg/ml	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H33	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	MreB Perturbing Compound A22	mg/ml	0.01										646	B7,B8
Dino	set1H34	m.b.  A22 0.02 mg/ml	8/22/2013 Dino_ML3_set1	34	1914631	1553	1192841	1190899	93	167	373.673988076561	0.317620846166405	0.336677801464819	0.842450348319187	0.826567001681368	0.338877863371456	0.168804504235601	-0.124268489194489	3.73498240252515	stress	marine broth with MreB Perturbing Compound A22 0.02 mg/ml	Dino_ML3	Jordan	8/16/2013	Dino_ML3_set1	H34	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	MreB Perturbing Compound A22	mg/ml	0.02										646	C1,C2
Dino	set1H40	m.b.  Thallium(I) acetate 0.001 mg/ml	8/22/2013 Dino_ML3_set1	40	1761318	1489	1110254	1108036	79	167	347.673674301851	0.289049562296332	0.448750803882082	0.874469117916141	0.826567001681368	0.203840272391694	0.162692376646229	-0.133075794127077	6.61134655144007	stress	marine broth with Thallium(I) acetate 0.001 mg/ml	Dino_ML3	Jordan	8/22/2013	Dino_ML3_set1	H40	marine_broth_2216	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Thallium(I) acetate	mg/ml	0.001										658	A1,A2
