orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
HerbieS	set12IT032	R2A with Vogels_fungal_media 0.2X	17-Aug-21 HerbieS_ML4_set12	234	3177266	0	1572413	1567215	216	911	404.025522041763	0.185263443870264	0.20851834095587	1.0416200515373	1.04580368961313	0.180985040115426	0.0933096553799551	0.0476217735496329	1.13679497735204	supernatant control:fungal media	R2A with Vogels_fungal_media 0.2X	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT032	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Vogels_fungal_media, filtered	X	0.2											
HerbieS	set12IT033	R2A with Vogels_fungal_media 0.2X	17-Aug-21 HerbieS_ML4_set12	235	2816102	0	1394823	1390234	192	911	358.400103119361	0.146889272659302	0.244975258313523	1.03735380580882	1.04580368961313	0.211172156493468	-0.00144493009964706	0.0462947812252594	1.48188394474958	supernatant control:fungal media	R2A with Vogels_fungal_media 0.2X	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT033	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Vogels_fungal_media, filtered	X	0.2											
HerbieS	set12IT034	R2A with Vogels_fungal_media 0.2X	17-Aug-21 HerbieS_ML4_set12	236	3115516	0	1541879	1537057	211	911	396.250837844805	0.162763569707898	0.221831142474442	1.03666547725209	1.04580368961313	0.179009840406597	0.125421088237451	0.0368223500254043	1.1859508114937	supernatant control:fungal media	R2A with Vogels_fungal_media 0.2X	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT034	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Vogels_fungal_media, filtered	X	0.2											
HerbieS	set12IT038	R2A control	17-Aug-21 HerbieS_ML4_set12	240	3816075	0	1887665	1881297	268	911	484.99535962877	0.171010631594321	0.209269374421214	1.03718516740734	1.04580368961313	0.213240404738157	0.0714908911192981	0.114657814738516	1.62043577632982	r2a control	R2A control	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT038	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm														
HerbieS	set12IT039	R2A control	17-Aug-21 HerbieS_ML4_set12	241	3724266	0	1848623	1842088	270	911	474.887342098479	0.315624564950973	0.208082302820156	1.04593927187573	1.04580368961313	0.393919409972724	0.245563128321793	0.187884398746051	1.30685611560406	r2a control	R2A control	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT039	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm														
HerbieS	set12IT040	R2A control	17-Aug-21 HerbieS_ML4_set12	242	3261501	0	1609992	1604628	222	911	413.670533642691	0.123330019424761	0.230941804613846	1.04206048669233	1.04580368961313	0.181119173179535	0.0688851747451063	0.0540328584139812	0.981540576551887	r2a control	R2A control	HerbieS_ML4a	Cat_Manuel	17-Aug-21	HerbieS_ML4_set12	IT040	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm														
HerbieS	set13IT043	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	1-Feb-22 HerbieS_ML4_set13	264	3243228	0	1603470	1598464	222	1086	412.081464294921	0.154352603850118	0.211068043567032	1.04439411935845	1.0341859608186	0.186621220038033	0.0775120919378127	0.00981225807025705	0.964846534950373	supernatant	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	HerbieS_ML4a	Cat_Manuel	1-Feb-22	HerbieS_ML4_set13	IT043	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered	X	0.2											
HerbieS	set13IT044	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	1-Feb-22 HerbieS_ML4_set13	265	3366398	0	1660587	1655411	228	1086	426.762309873679	0.172709998583375	0.212774642005854	1.05133457481594	1.0341859608186	0.223385377977677	0.150472274260642	0.00433598434703134	1.2353977080405	supernatant	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	HerbieS_ML4a	Cat_Manuel	1-Feb-22	HerbieS_ML4_set13	IT044	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered	X	0.2											
HerbieS	set13IT045	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	1-Feb-22 HerbieS_ML4_set13	266	2845816	0	1406828	1402490	192	1086	361.559680329982	0.158387729881082	0.2158942134918	1.05591654837076	1.0341859608186	0.233729561205143	0.100820084617306	0.00310271920945252	1.59811313810072	supernatant	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered; 0.2X	HerbieS_ML4a	Cat_Manuel	1-Feb-22	HerbieS_ML4_set13	IT045	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Supernatant; Trichoderma atroviride IMI grown in Vogels_fungal_media, filtered	X	0.2											
HerbieS	set13IT046	R2A with Vogels_fungal_media 0.2X	1-Feb-22 HerbieS_ML4_set13	267	3173274	0	1572806	1567887	220	1086	404.198762567672	0.152309524694388	0.213333222567522	1.06629230112234	1.0341859608186	0.191582555049414	0.15013517541555	0.0332104001655379	1.16721064229258	supernatant control:fungal media	R2A with Vogels_fungal_media 0.2X	HerbieS_ML4a	Cat_Manuel	1-Feb-22	HerbieS_ML4_set13	IT046	R2A	30		24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	Vogels_fungal_media, filtered	X	0.2											
