orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Koxy	set11IT061	2-Deoxyadenosine 5-monophosphate 5 mM (C)	5/2/18 Koxy_ML2_set11	577	2234399	3313	1389942	1383367	151	320	300.209852430556	0.168952982329666	0.411581314425387	1.11418563691293	1.04118067876	0.0990740311108355	-0.00112803795819698	-0.0116338301780497	3.66217749646132	carbon source	2-Deoxyadenosine 5-monophosphate 5 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT061	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2-Deoxyadenosine 5-monophosphate	mM	5										Koxy_deoxyribosePlus_plate	A1
Koxy	set11IT064	2'-Deoxycytidine 10 mM (C)	5/2/18 Koxy_ML2_set11	580	2353262	653	1486194	1479781	156.5	320	321.133029513889	0.161745510654721	0.323663172165649	1.09704167348263	1.04118067876	0.196134227846405	0.0277142977155205	-0.0246964507440786	8.36857925750342	carbon source	2'-Deoxycytidine 10 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT064	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2'-Deoxycytidine	mM	10										Koxy_deoxyribosePlus_plate	A4
Koxy	set11IT065	2'-Deoxycytidine 5 mM (C)	5/2/18 Koxy_ML2_set11	581	2522663	603	1587288	1580609	169	320	343.014105902778	0.191294883734313	0.270089971822225	1.05695835171616	1.04118067876	0.127142087776356	0.0354558305009077	0.00515815703673056	7.75679872807791	carbon source	2'-Deoxycytidine 5 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT065	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2'-Deoxycytidine	mM	5										Koxy_deoxyribosePlus_plate	A5
Koxy	set11IT066	2-Deoxyadenosine 4 mM (C)	5/2/18 Koxy_ML2_set11	582	2569135	414	1602246	1595061	179	320	346.150390625	0.182387893723296	0.231623029080429	1.03627523936454	1.04118067876	0.140820178859904	0.00660244665390206	0.00779714343822418	1.88837803026919	carbon source	2-Deoxyadenosine monohydrate 4 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT066	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2-Deoxyadenosine monohydrate	mM	4										Koxy_deoxyribosePlus_plate	A6
Koxy	set11IT067	2'-Deoxyinosine 10 mM (C)	5/2/18 Koxy_ML2_set11	583	2641549	1635	1647620	1640488	182	320	356.008680555556	0.148611727894223	0.276522312256276	1.06325926127381	1.04118067876	0.0639688431632236	0.0439009152011879	0.00112794263431178	3.62741525628937	carbon source	2'-Deoxyinosine 10 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT067	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2'-Deoxyinosine	mM	10										Koxy_deoxyribosePlus_plate	B1
Koxy	set11IT068	2'-Deoxyinosine 5 mM (C)	5/2/18 Koxy_ML2_set11	584	2135506	1326	1334716	1328680	150	320	288.342013888889	0.123472089661932	0.302045663729077	1.05310065342933	1.04118067876	0.0745597468824702	0.027955821804578	0.00294854318209487	2.58180413707107	carbon source	2'-Deoxyinosine 5 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT068	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2'-Deoxyinosine	mM	5										Koxy_deoxyribosePlus_plate	B2
Koxy	set11IT069	2-Deoxy-D-ribonic lithium salt 10 mM (C)	5/2/18 Koxy_ML2_set11	585	2061744	1080	1284389	1278725	143	320	277.501085069444	0.159629388705399	0.330654751051968	1.08214341778507	1.04118067876	0.121129045338707	0.0351376356636465	0.00182354046268816	1.95230289583123	carbon source	2-Deoxy-D-ribonic acid lithium salt 10 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT069	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2-Deoxy-D-ribonic acid lithium salt	mM	10										Koxy_deoxyribosePlus_plate	B4
Koxy	set11IT070	D-Glucose 20 mM (C)	5/2/18 Koxy_ML2_set11	586	2357626	2257	1468926	1462631	164	320	317.411241319444	0.183237375751927	0.261171809110555	1.06405346338326	1.04118067876	0.110650842932493	-0.00110853140509353	0.0109085264286517	1.57445618049486	carbon source	D-Glucose 20 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT070	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	D-Glucose	mM	20										Koxy_deoxyribosePlus_plate	B5
Koxy	set11IT071	2-Deoxyadenosine 5-monophosphate 5 mM (C)	5/2/18 Koxy_ML2_set11	587	2448886	488	1528447	1521635	165	320	330.215928819444	0.242237277004986	0.22301914496017	1.04730571477836	1.04118067876	0.180722466798375	0.0572424972265173	0.00901551332521728	2.58260953014097	carbon source	2-Deoxyadenosine 5-monophosphate 5 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT071	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2-Deoxyadenosine 5-monophosphate	mM	5										Koxy_deoxyribosePlus_plate	C1
Koxy	set11IT074	2'-Deoxycytidine 10 mM (C)	5/2/18 Koxy_ML2_set11	590	2263460	546	1431246	1424827	151	320	309.207248263889	0.167008714850339	0.282678700059289	1.05343925896146	1.04118067876	0.159463459187586	0.0353751912083362	-0.0209689295485127	8.54273826712879	carbon source	2'-Deoxycytidine 10 mM carbon source	Koxy_ML2	Adam	5/2/18	Koxy_ML2_set11	IT074	RCH2_defined_noCarbon	30	7	24-well transparent microplate; Multitron	Aerobic	Liquid	700 rpm	2'-Deoxycytidine	mM	10										Koxy_deoxyribosePlus_plate	C4
