orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Miya	set1H14	rich MoYLS4	3/14/2014 Miya_ML3_set1	2	2153549	39455	1451689	1451244	348	1485	573.387593836428	0.226486120637348	0.170197516622885	1.27854430401306	1.28197644417886	0.251393219613349	0.0776761265911807	-0.0680790811189294	1.0840859715312	rich moyls4	rich MoYLS4	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H14	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm														
Miya	set1H15	rich MoYLS4	3/14/2014 Miya_ML3_set1	3	3068280	52928	2068442	2067899	496	1485	817.02844725405	0.297375892829646	0.148966198382893	1.2865926664724	1.28197644417886	0.332958578427466	-0.00878272871487265	-0.0502536901673482	1.19401447041064	rich moyls4	rich MoYLS4	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H15	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm														
Miya	set1H16	MoYLS4 with Carbenicillin 0.0468 mg/ml	3/14/2014 Miya_ML3_set1	4	3479643	53217	2346165	2345522	557	1485	926.717502963256	0.361088744214127	0.145221556364374	1.28512468963017	1.28197644417886	0.304018280482619	0.038333041966373	-0.0494780583531661	1.21554811390866	stress	MoYLS4 with Carbenicillin disodium salt 0.0468 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H16	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Carbenicillin disodium salt	mg/ml	0.0468											
Miya	set1H17	MoYLS4 with Carbenicillin 0.0468 mg/ml	3/14/2014 Miya_ML3_set1	5	3153218	47486	2126610	2126058	498	1485	840.007111813512	0.378031982716693	0.158683096623967	1.31236445440624	1.28197644417886	0.290139225150769	0.069118596533696	-0.0301390876711053	1.06457716944953	stress	MoYLS4 with Carbenicillin disodium salt 0.0468 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H17	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Carbenicillin disodium salt	mg/ml	0.0468											
Miya	set1H18	MoYLS4 with Carbenicillin 0.0625 mg/ml	3/14/2014 Miya_ML3_set1	6	3633895	66015	2462872	2462049	543	1485	972.757408139075	0.467081310825888	0.156269816793426	1.31065885101381	1.28197644417886	0.290015776872055	-0.0866547305675536	-0.0181776882917001	3.83466465250998	stress	MoYLS4 with Carbenicillin disodium salt 0.0625 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H18	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Carbenicillin disodium salt	mg/ml	0.0625											
Miya	set1H19	MoYLS4 with Carbenicillin 0.0625 mg/ml	3/14/2014 Miya_ML3_set1	7	3228238	64163	2253219	2252346	391	1485	889.903595416831	0.439086931422989	0.214434567997679	1.37851162325373	1.28197644417886	0.275189840745606	-0.0849792296151216	-0.0191154666834137	6.33286374186136	stress	MoYLS4 with Carbenicillin disodium salt 0.0625 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H19	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Carbenicillin disodium salt	mg/ml	0.0625											
Miya	set1H20	MoYLS4 with G418 0.031 mg/ml	3/14/2014 Miya_ML3_set1	8	3239250	59631	2178707	2178098	521	1485	860.568154879494	0.322272080920698	0.14638034913992	1.29525882107611	1.28197644417886	0.189714371570924	0.00769989419845186	-0.0338212368357981	0.835324837963673	stress	MoYLS4 with G418 0.031 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H20	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	G418 disulfate salt solution	mg/ml	0.031											
Miya	set1H21	MoYLS4 with G418 0.031 mg/ml	3/14/2014 Miya_ML3_set1	9	3136806	55764	2106341	2105809	500	1485	832.006716712762	0.304126859761458	0.155735862895442	1.3059697835011	1.28197644417886	0.297787530917043	0.0538133074608855	-0.0289891129506558	1.35253994613128	stress	MoYLS4 with G418 0.031 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H21	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	G418 disulfate salt solution	mg/ml	0.031											
Miya	set1H22	MoYLS4 with Spectinomycin 0.0125 mg/ml	3/14/2014 Miya_ML3_set1	10	3469149	54834	2340857	2340180	557	1485	924.606874753062	0.336124915910952	0.152435922841179	1.29631210121461	1.28197644417886	0.304754228709253	0.0112853439070435	-0.00824369152675102	0.895121582660757	stress	MoYLS4 with Spectinomycin dihydrochloride pentahydrate 0.0125 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H22	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Spectinomycin dihydrochloride pentahydrate	mg/ml	0.0125											
Miya	set1H23	MoYLS4 with Spectinomycin 0.0125 mg/ml	3/14/2014 Miya_ML3_set1	11	2890478	55077	1940463	1939928	477	1485	766.467009087317	0.322387680301334	0.153719458258683	1.30534474352287	1.28197644417886	0.285222075151803	0.0633526057996255	-0.00587235859379055	1.29271713215241	stress	MoYLS4 with Spectinomycin dihydrochloride pentahydrate 0.0125 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H23	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Spectinomycin dihydrochloride pentahydrate	mg/ml	0.0125											
Miya	set1H24	MoYLS4 with Spectinomycin 0.025 mg/ml	3/14/2014 Miya_ML3_set1	12	2688358	46904	1812349	1811740	444	1485	715.819834057685	0.332168770323672	0.151165439853331	1.2886621396174	1.28197644417886	0.234786863425705	0.0483466118908211	-0.0423385086877758	2.057781554069	stress	MoYLS4 with Spectinomycin dihydrochloride pentahydrate 0.025 mg/ml	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H24	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Spectinomycin dihydrochloride pentahydrate	mg/ml	0.025											
Miya	set1H25	Defined MoLS4	3/14/2014 Miya_ML3_set1	14	3583054	69341	2416361	2415746	544	1485	954.46305807981	0.35279830937351	0.151876791880915	1.32262922650301	1.28197644417886	0.350982219857178	0.0593710957600403	-0.0521731582669581	1.24570625337685	carbon source	Defined MoLS4	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H25	MoLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm														
Miya	set1H26	Defined MoLS4	3/14/2014 Miya_ML3_set1	15	3212076	59463	2180682	2180094	458	1485	861.356775977874	0.336257129142734	0.157585504581371	1.33588163701453	1.28197644417886	0.318412122043439	0.011562077947048	-0.0377119876887663	1.42044296899973	carbon source	Defined MoLS4	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H26	MoLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm														
Miya	set1H27	methionine 1 mM	3/14/2014 Miya_ML3_set1	16	3215621	63701	2205952	2205336	431	1485	871.329909126827	0.346622075159793	0.177535366141947	1.33971359236232	1.28197644417886	0.279153276670332	0.0408246645753173	-0.053377688833541	2.3300695853995	nutrient	methionine 1 mM	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H27	MoLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	L-Methionine	mM	1											
Miya	set1H28	methionine 1 mM	3/14/2014 Miya_ML3_set1	17	3045696	61882	2055357	2054851	445	1485	811.873172659028	0.363106706727016	0.176606369880631	1.30418559977226	1.28197644417886	0.23970537453557	0.0226756919364558	-0.0170453628979822	1.71758212343252	nutrient	methionine 1 mM	Miya_ML3	Jen	3/14/2014	Miya_ML3_set1	H28	MoLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	L-Methionine	mM	1											
Miya	set1H31	MoYLS4 with Chloramphenicol 0.003125 mg/ml	3/20/2014 Miya_ML3_set1	21	3511487	71553	2368675	2367926	551	1301	935.569340181746	0.35642349069936	0.160597520871293	1.29606603320152	1.31250856869717	0.266660349133762	-0.00902175818411068	-0.0562917960009902	2.7141926959589	stress	MoYLS4 with Chloramphenicol 0.003125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H31	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Chloramphenicol	mg/ml	0.003125											
Miya	set1H32	MoYLS4 with Chloramphenicol 0.003125 mg/ml	3/20/2014 Miya_ML3_set1	22	3156164	51308	2141494	2140961	501	1301	845.895298301067	0.35359062573272	0.161757127218928	1.28568332032588	1.31250856869717	0.365601042859679	0.124209972237754	-0.0224663143221188	1.47629783427854	stress	MoYLS4 with Chloramphenicol 0.003125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H32	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Chloramphenicol	mg/ml	0.003125											
Miya	set1H33	MoYLS4 with G418 0.125 mg/ml	3/20/2014 Miya_ML3_set1	23	2995325	57280	2027123	2026632	459	1301	800.723824575267	0.315033768941744	0.171993815663897	1.33152955025339	1.31250856869717	0.379708012339701	-0.0246313249354217	-0.0270907109956543	1.16384975121217	stress	MoYLS4 with G418 0.125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H33	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	G418 disulfate salt solution	mg/ml	0.125											
Miya	set1H34	MoYLS4 with G418 0.125 mg/ml	3/20/2014 Miya_ML3_set1	24	2735818	47955	1853214	1852723	427	1301	732.012248123271	0.274364052127388	0.176078197030822	1.33288331900167	1.31250856869717	0.244492613751097	0.0413642633578551	-0.0208738776981707	0.924624542848441	stress	MoYLS4 with G418 0.125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H34	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	G418 disulfate salt solution	mg/ml	0.125											
Miya	set1H35	MoYLS4 with Nalidixic 0.0078125 mg/ml	3/20/2014 Miya_ML3_set1	25	2601334	45653	1752036	1750996	326	1301	691.819834057685	0.454522382076825	0.198289514120584	1.30328318386056	1.31250856869717	0.329696960113725	0.0793596660550709	0.0332508339454195	5.26667926606011	stress	MoYLS4 with Nalidixic acid sodium salt 0.0078125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H35	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Nalidixic acid sodium salt	mg/ml	0.0078125											
Miya	set1H36	MoYLS4 with Nalidixic 0.0078125 mg/ml	3/20/2014 Miya_ML3_set1	26	2955289	56692	1990661	1989977	450	1301	786.241406558672	0.430899597602479	0.169120062247364	1.30140010768735	1.31250856869717	0.345387769716256	0.0466224310632754	-0.0288753848624035	2.58203263568504	stress	MoYLS4 with Nalidixic acid sodium salt 0.0078125 mg/ml	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H36	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Nalidixic acid sodium salt	mg/ml	0.0078125											
Miya	set1H37	MoYLS4 with nitrate 50 mM	3/20/2014 Miya_ML3_set1	27	2411060	22423	1907923	1907633	206	1301	753.707230343738	0.362471255738644	0.212518700276183	1.32192809488736	1.31250856869717	0.230471990132392	0.0920127504488169	-0.0429542547111063	9.33918196184047	stress	MoYLS4 with Sodium nitrate 50 mM	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H37	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Sodium nitrate	mM	50											
Miya	set1H38	MoYLS4 with nitrate 50 mM	3/20/2014 Miya_ML3_set1	28	1766822	9032	1560185	1560093	59	1301	616.393915448439	0.16196008494578	0.321496659869083	1.34084481348738	1.31250856869717	0.204340829354956	-0.0723830422073651	-0.0151897666335337	11.5553314922367	stress	MoYLS4 with Sodium nitrate 50 mM	Miya_ML3	Jen	3/20/2014	Miya_ML3_set1	H38	MoYLS4	30	7.2	hungate	Anaerobic	Liquid	0 rpm	Sodium nitrate	mM	50											
