orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
PV4	set1H1	LB	2/20/2014 PV4_ML1_set1	48	3510467	1679	2256352	2255445	316	591	749.56630109671	0.207004634469522	0.2499187543323	1.33604920313201	1.33257533908687	0.161167958908014	0.0505908282046869	0.0261096182547939	2.61820457340266	lb	LB	PV4_ML1	Adam	2/20/2014	PV4_ML1_set1	H1	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital													817	F7,F8
PV4	set1H10	Vancomycin 0.0625 mg/ml	2/20/2014 PV4_ML1_set1	39	3353740	1306	2168102	2167259	290	591	720.258889996677	0.307144202052003	0.253571910716043	1.36257007938471	1.33257533908687	0.213214087590176	0.00852679539348173	-0.00941268472550085	3.6822460707805	stress	LB with Vancomycin Hydrochloride Hydrate 0.0625 mg/ml	PV4_ML1	Adam	2/20/2014	PV4_ML1_set1	H10	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Vancomycin Hydrochloride Hydrate	mg/ml	0.0625										817	A3,A4
PV4	set1H2	A22 0.005 mg/ml	2/20/2014 PV4_ML1_set1	47	4056365	1902	2613825	2612685	358	591	868.290129611167	0.258497018486937	0.266948264229679	1.32303197702967	1.33257533908687	0.208641113301659	0.0102096753872933	0.00444471255001442	3.01289107515511	stress	LB with MreB Perturbing Compound A22 0.005 mg/ml	PV4_ML1	Adam	2/20/2014	PV4_ML1_set1	H2	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	MreB Perturbing Compound A22	mg/ml	0.005										817	E7,E8
PV4	set1H25	LB	12/11/2013 PV4_ML1_set1	24	4652601	2138	2977113	2975931	443	621	989.009970089731	0.215361538670838	0.228817909211003	1.31095055551315	1.3256225784451	0.272345468127082	-0.0247894371638351	0.0584825154464849	2.39755554855509	lb	LB	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H25	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital													809	F7,F8
PV4	set1H26	sodium fluoride 100 mM	12/11/2013 PV4_ML1_set1	23	4365953	2465	2784883	2783854	391	621	925.175805915587	0.263931636122081	0.220558635737533	1.30304662912883	1.3256225784451	0.221416915372375	0.0853604326254773	0.0415669862541224	2.91403838548943	stress	LB with sodium fluoride 100 mM	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H26	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	sodium fluoride	mM	100										809	F5,F6
PV4	set1H27	copper (II) chloride 0.5 mM	12/11/2013 PV4_ML1_set1	22	3790921	1949	2416723	2415805	349	621	802.85975407112	0.207495000967849	0.239768000031731	1.32736198093799	1.3256225784451	0.194520676097671	-0.0606758204676302	0.0438147787325261	2.35935280976813	stress	LB with copper (II) chloride dihydrate 0.5 mM	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H27	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	copper (II) chloride dihydrate	mM	0.5										809	E7,E8
PV4	set1H28	Cobalt chloride 0.04 mM	12/11/2013 PV4_ML1_set1	21	3267535	1448	2090649	2089850	304	621	694.533067464274	0.297364016915986	0.228175108782552	1.3112016882943	1.3256225784451	0.187865546480408	0.0507032864676641	0.0522614202771175	2.95314074162594	stress	LB with Cobalt chloride hexahydrate 0.04 mM	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H28	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Cobalt chloride hexahydrate	mM	0.04										809	E3,E4
PV4	set1H29	Cobalt chloride 0.08 mM	12/11/2013 PV4_ML1_set1	20	3316323	1657	2133218	2132475	274	621	708.69890329013	0.21849372040071	0.258603694040708	1.32894852256513	1.3256225784451	0.238873239455987	0.0189115957779899	0.0274361272724787	5.76200592810562	stress	LB with Cobalt chloride hexahydrate 0.08 mM	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H29	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Cobalt chloride hexahydrate	mM	0.08										809	E1,E2
PV4	set1H3	Cephalothin 0.05 mg/ml	2/20/2014 PV4_ML1_set1	46	4096630	1874	2651807	2650697	360	591	880.922897972748	0.333105399879166	0.251497911252162	1.32050601981816	1.33257533908687	0.221398568241217	-0.00489806408428269	-0.0303078242581901	4.31365641780009	stress	LB with Cephalothin sodium salt 0.05 mg/ml	PV4_ML1	Adam	2/20/2014	PV4_ML1_set1	H3	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Cephalothin sodium salt	mg/ml	0.05										817	E1,E2
PV4	set1H30	LB	12/11/2013 PV4_ML1_set1	19	3085474	1636	1972715	1971978	293	621	655.359920239282	0.210211995164076	0.235540964688899	1.3536369546147	1.3256225784451	0.221015480511789	-0.0504921088190132	0.036627379174748	2.37681350176917	lb	LB	PV4_ML1	Adam	12/11/2013	PV4_ML1_set1	H30	LB	30		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	200 rpm													809	C7,C8
