orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
acidovorax_3H11	set1IT049	Nickel (II) chloride 0.6 mM	3/3/2015 acidovorax_3H11_ML3a_set1	1	2927410	4951	1770228	1749378	228	1412	444.56874205845	0.275538389539476	0.220588472826359	1.15247750814182	1.12459467491747	0.164947364395995	0.0456442360759855	0.0507449536223933	3.54277492531902	stress	LB with Nickel (II) chloride hexahydrate 0.6 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT049	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Nickel (II) chloride hexahydrate	mM	0.6										1187	A3,A4
acidovorax_3H11	set1IT050	Cobalt chloride 0.16 mM	3/3/2015 acidovorax_3H11_ML3a_set1	2	2887408	4930	1738403	1718466	219	1412	436.713087674714	0.303908241544803	0.218788030843168	1.15002868014436	1.12459467491747	0.151051084091168	0.0153143949861397	0.0329623687146866	3.77875018285448	stress	LB with Cobalt chloride hexahydrate 0.16 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT050	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Cobalt chloride hexahydrate	mM	0.16										1187	A7,A8
acidovorax_3H11	set1IT051	Cobalt chloride 0.32 mM	3/3/2015 acidovorax_3H11_ML3a_set1	3	2877937	4828	1732284	1711472	232	1412	434.935705209657	0.293913401486	0.220124712694109	1.14367393158861	1.12459467491747	0.179015780087194	-0.0208182779210634	0.0231594742085745	2.88107684218495	stress	LB with Cobalt chloride hexahydrate 0.32 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT051	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Cobalt chloride hexahydrate	mM	0.32										1187	B1,B2
acidovorax_3H11	set1IT052	copper (II) chloride 1 mM	3/3/2015 acidovorax_3H11_ML3a_set1	4	2608025	4075	1572121	1552763	215	1412	394.603049555273	0.258604129535012	0.207588625478145	1.15567330653276	1.12459467491747	0.147715726496668	0.0585080705191304	0.0420734021904522	2.77431967406489	stress	LB with copper (II) chloride dihydrate 1 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT052	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	copper (II) chloride dihydrate	mM	1										1187	B5,B6
acidovorax_3H11	set1IT053	sodium fluoride 25 mM	3/3/2015 acidovorax_3H11_ML3a_set1	5	2558112	4224	1532137	1512441	222	1412	384.356035578145	0.217318788627133	0.212290878573805	1.14765540442878	1.12459467491747	0.167098226090519	0.0154692459646544	0.0319362878507623	1.90139355122328	stress	LB with sodium fluoride 25 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT053	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	sodium fluoride	mM	25										1187	C3,C4
acidovorax_3H11	set1IT055	LB	3/3/2015 acidovorax_3H11_ML3a_set1	7	2972364	5409	1802680	1781946	228	1412	452.845235069886	0.321907577755501	0.217938993064597	1.14451810666499	1.12459467491747	0.196053602200523	0.0358799183463618	0.0220567336720891	4.0586299753301	lb	LB	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT055	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital													1187	F7,F8
acidovorax_3H11	set1IT056	nitrite 10 mM	3/3/2015 acidovorax_3H11_ML3a_set1	8	3076387	5163	1848488	1824414	267	1412	463.637611181703	0.191905832449204	0.200656748669094	1.17889250840967	1.12459467491747	0.128200570847849	0.0125575805975434	0.0627297080078515	2.00625949249581	stress	LB with Sodium nitrite 10 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT056	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium nitrite	mM	10										1188	A1,A2
acidovorax_3H11	set1IT057	Sisomicin 0.0005 mg/ml	3/3/2015 acidovorax_3H11_ML3a_set1	9	2549494	4222	1539926	1521170	208	1412	386.574332909784	0.308343554512814	0.201697106450841	1.16181937618675	1.12459467491747	0.217311641132642	-0.0175079284385622	0.0459308544938281	3.29498904278254	stress	LB with Sisomicin sulfate salt 0.0005 mg/ml	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT057	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sisomicin sulfate salt	mg/ml	5.00E-04										1188	B7,B8
acidovorax_3H11	set1IT058	Chlorate 20 mM	3/3/2015 acidovorax_3H11_ML3a_set1	10	2847138	4771	1721606	1700815	234	1412	432.227445997459	0.27937215495871	0.207815258132275	1.14177091660972	1.12459467491747	0.173253009309263	0.0747761353732704	0.0434143273570602	3.55101772472314	stress	LB with Sodium Chlorate 20 mM	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT058	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Sodium Chlorate	mM	20										1188	C5,C6
acidovorax_3H11	set1IT059	Polymyxin B sulfate 0.0001 mg/ml	3/3/2015 acidovorax_3H11_ML3a_set1	11	2051159	3238	1242552	1228541	160	1412	312.208640406607	0.241705788621642	0.263518824760662	1.19229819285735	1.12459467491747	0.123205546636721	0.0183538635865751	0.00543045286479238	3.3951754480449	stress	LB with Polymyxin B sulfate 0.0001 mg/ml	acidovorax_3H11_ML3a	Mark	3/3/2015	acidovorax_3H11_ML3a_set1	IT059	LB	25		48 well microplate; Tecan Infinite F200	Aerobic	Liquid	orbital	Polymyxin B sulfate	mg/ml	1.00E-04										1188	E5,E6
